Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,2.087878,2.179797,2.040909,2.073737,1.396028,180285435
2002-07-08,2.089393,2.091414,1.944444,1.972727,1.328028,80586693
2002-07-15,1.969696,2.124747,1.834343,2.098484,1.412687,266632146
2002-07-22,2.046464,2.211616,1.989898,2.013131,1.355229,864903897
2002-07-29,2.027272,2.038383,1.691919,1.816161,1.222630,377811324
2002-08-05,1.812121,2.156565,1.812121,2.127777,1.432408,428103918
2002-08-12,2.136363,2.186868,2.066666,2.078787,1.399428,212310648
2002-08-19,2.090909,2.165656,2.023232,2.142929,1.442608,207770310
2002-08-26,2.136363,2.191919,1.981818,2.033838,1.369168,198864171
2002-09-02,2.049494,2.074747,1.872222,1.899494,1.278728,192166722
2002-09-09,1.888888,1.888888,1.717171,1.795454,1.208689,186176232
2002-09-16,1.814646,1.820202,1.363636,1.508080,1.044312,204804567
2002-09-23,1.515656,1.606060,1.505050,1.557575,1.078586,165464541
2002-09-30,1.550505,1.562121,1.429797,1.441414,0.998147,146287449
2002-10-07,1.484848,1.679292,1.465656,1.608585,1.113910,414872073
2002-10-14,1.626262,1.644444,1.492424,1.581313,1.095024,142959267
2002-10-21,1.626262,1.626262,1.528787,1.573232,1.089428,86675193
2002-10-28,1.586868,1.764646,1.542929,1.688888,1.169518,240082821
2002-11-04,1.717171,1.717171,1.585858,1.633333,1.131047,39069954
2002-11-11,1.640909,1.728787,1.616161,1.706565,1.181759,94092174
2002-11-18,1.708080,1.745959,1.647979,1.719696,1.190852,42767307
2002-11-25,1.757575,1.816666,1.651515,1.706565,1.181759,121942359
2002-12-02,1.707070,2.060606,1.707070,1.866161,1.292275,182807262
2002-12-09,1.868686,1.919191,1.717171,1.791919,1.240865,97660629
2002-12-16,1.814646,1.858585,1.737373,1.768686,1.224777,86080797
2002-12-23,1.770202,1.810606,1.730808,1.779292,1.232121,34413093
2002-12-30,1.747474,1.780808,1.688383,1.710101,1.184207,49925304
2003-01-06,1.708080,1.954040,1.708080,1.888383,1.307664,130116195
2003-01-13,1.890909,2.068686,1.889393,1.941414,1.344387,160190613
2003-01-20,1.931818,1.970707,1.848484,1.901010,1.316408,71324946
2003-01-27,1.968181,2.052525,1.825757,2.026262,1.403142,112621806
2003-02-03,2.025252,2.119191,1.969696,2.011111,1.392650,120233421
2003-02-10,2.010101,2.039898,1.901515,1.927272,1.334593,28217772
2003-02-17,1.986868,2.212121,1.940404,2.052525,1.421328,104061969
2003-02-24,2.070707,2.081313,1.945959,2.020707,1.399295,97669341
2003-03-03,2.035858,2.045454,1.939393,1.969191,1.363621,64637694
2003-03-10,1.960606,2.030303,1.878787,1.940909,1.344037,42161724
2003-03-17,1.929797,2.010101,1.871212,1.955555,1.354179,24231240
2003-03-24,1.996464,1.996464,1.759090,1.836868,1.271991,35471205
2003-03-31,1.787878,2.034343,1.787878,2.016161,1.396147,52971732
